العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,ملاحظ معالجة الزيت,38,,,,,,,,الشرقية,الأنشطة العقارية,متوسطة (فئة ب),بلاتيني,3
,,,,,,ملاحظ معدات ترسيب المعادن,4,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة ب),بلاتيني,3
,,,,,,ملبد صوف,8,,,,,,,,الشرقية,التشييد,متوسطة (فئة ب),بلاتيني,31
,,,,,,ملحق,0,,,,,,,,الشرقية,التعدين واستغلال المحاجر,متوسطة (فئة ب),بلاتيني,14
,,,,,,ملحق إداري,0,,,,,,,,الشرقية,التعليم,متوسطة (فئة ب),بلاتيني,8
,,,,,,ملحق دبلوماسي,5,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,29
,,,,,,ملحق فني,172,,,,,,,,الشرقية,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,43
,,,,,,ملحن,27,,,,,,,,الشرقية,الفنون والترفيه والتسلية,متوسطة (فئة ب),بلاتيني,1
,,,,,,ملمع أحذية,23,,,,,,,,الشرقية,المعلومات والاتصالات,متوسطة (فئة ب),بلاتيني,2
,,,,,,ملون زجاج,61,,,,,,,,الشرقية,النقل والتخزين,متوسطة (فئة ب),بلاتيني,23
,,,,,,مليّس,39924,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,57
,,,,,,مليس,540,,,,,,,,الشرقية,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,14
,,,,,,ممثل,88,,,,,,,,القصيم,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ب),بلاتيني,4
,,,,,,ممثل ادعاء,50,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,13
,,,,,,ممثل إذاعي,0,,,,,,,,القصيم,التشييد,متوسطة (فئة ب),بلاتيني,5
,,,,,,ممثل ثانوي,6,,,,,,,,القصيم,التعليم,متوسطة (فئة ب),بلاتيني,1
,,,,,,ممثل سينمائي وتلفزيوني,5,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,4
,,,,,,ممثل مسرحي,8,,,,,,,,القصيم,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,1
,,,,,,ممرض اسعاف اولي (طواريء),1,,,,,,,,القصيم,النقل والتخزين,متوسطة (فئة ب),بلاتيني,1
,,,,,,ممرض بيطري,6,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,8
,,,,,,ممرض عام,24477,,,,,,,,القصيم,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,1
,,,,,,ممرض متخصص,239,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ب),بلاتيني,2
,,,,,,ممرض منزلي,63,,,,,,,,المدينة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,5
,,,,,,ممرضة توليد وامراض نسائية,0,,,,,,,,المدينة,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة ب),بلاتيني,1
,,,,,,ممكيج,1538,,,,,,,,المدينة,التشييد,متوسطة (فئة ب),بلاتيني,5
,,,,,,منتج أفلام,96,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,10
,,,,,,منتج البان,44,,,,,,,,المدينة,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ب),بلاتيني,1
,,,,,,منتج تليفزيوني وإذاعي,288,,,,,,,,المدينة,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,4
,,,,,,منتج مسرحي,4,,,,,,,,المدينة,النقل والتخزين,متوسطة (فئة ب),بلاتيني,3
,,,,,,منجد اثاث,29,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,29
,,,,,,منجد ستائر,16,,,,,,,,تبوك,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,4
,,,,,,منجد عام,9,,,,,,,,تبوك,التشييد,متوسطة (فئة ب),بلاتيني,1
,,,,,,منجد فراش,1,,,,,,,,تبوك,التعليم,متوسطة (فئة ب),بلاتيني,2
,,,,,,منجد مركبات,12,,,,,,,,تبوك,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,3
,,,,,,مندوب خدمات سلعيه,3903,,,,,,,,تبوك,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ب),بلاتيني,2
,,,,,,مندوب دائم,9,,,,,,,,تبوك,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,2
,,,,,,مندوب دائم للمملكة,1355,,,,,,,,تبوك,النقل والتخزين,متوسطة (فئة ب),بلاتيني,1
,,,,,,مندوب مبيعات,282883,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,12
,,,,,,مندوب مشتريات,77031,,,,,,,,تبوك,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,1
,,,,,,منسق إداري طبي,1,,,,,,,,جازان,أنشطة الخدمات الأخرى,متوسطة (فئة ب),بلاتيني,1
,,,,,,منسق أنظمة جودة,355,,,,,,,,جازان,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,6
,,,,,,منسق حركة أرضية,1130,,,,,,,,جازان,التشييد,متوسطة (فئة ب),بلاتيني,1
,,,,,,منسق حركة رافعات,1666,,,,,,,,جازان,التعليم,متوسطة (فئة ب),بلاتيني,3
,,,,,,منسق زهور,2958,,,,,,,,جازان,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,3
,,,,,,منسق فعاليات,2691,,,,,,,,جازان,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,1
,,,,,,منسق لجان,325,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,31
,,,,,,منسق مراسم,96,,,,,,,,حائل,أنشطة الخدمات الأخرى,متوسطة (فئة ب),بلاتيني,1
,,,,,,منسق معارض ومؤتمرات,433,,,,,,,,حائل,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,5
,,,,,,منسق منتجات,3862,,,,,,,,حائل,التشييد,متوسطة (فئة ب),بلاتيني,1
,,,,,,منضد حروف,12,,,,,,,,حائل,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,2
,,,,,,منظف احشاء واطراف الذبائح,0,,,,,,,,حائل,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,2
,,,,,,منظف احشاء وريش الدواجن,0,,,,,,,,حائل,الفنون والترفيه والتسلية,متوسطة (فئة ب),بلاتيني,1
,,,,,,منظف اسنان,4,,,,,,,,حائل,المعلومات والاتصالات,متوسطة (فئة ب),بلاتيني,1
,,,,,,منظف اواني,64,,,,,,,,حائل,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,11
,,,,,,منظف واجهات مباني,1021,,,,,,,,حائل,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,1
,,,,,,منظف ومجفف جلود,6,,,,,,,,عسير,غير خاضعة لانشطة ISIC4,متوسطة (فئة ب),بلاتيني,3
,,,,,,منظم برامج اعلامية,143,,,,,,,,عسير,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ب),بلاتيني,3
,,,,,,منظم سياحي,2158,,,,,,,,عسير,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,12
,,,,,,منظم مزادات,59,,,,,,,,عسير,الأنشطة العقارية,متوسطة (فئة ب),بلاتيني,1
,,,,,,منظم ميزانية,0,,,,,,,,عسير,التشييد,متوسطة (فئة ب),بلاتيني,1
,,,,,,منفذ عقوبات شرعية,1,,,,,,,,عسير,التعليم,متوسطة (فئة ب),بلاتيني,2
,,,,,,منقذ,92,,,,,,,,عسير,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,6
,,,,,,منقذ دفاع مدني,118,,,,,,,,عسير,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ب),بلاتيني,1
,,,,,,منقذ سباحة,885,,,,,,,,عسير,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,3
,,,,,,مهرج أطفال,10,,,,,,,,عسير,النقل والتخزين,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس,2042,,,,,,,,عسير,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,21
,,,,,,مهندس اتصالات,7655,,,,,,,,عسير,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,5
,,,,,,مهندس أتمتة,98,,,,,,,,مكة المكرمة,غير خاضعة لانشطة ISIC4,متوسطة (فئة ب),بلاتيني,16
,,,,,,مهندس أجهزة طبية,2952,,,,,,,,مكة المكرمة,أنشطة الخدمات الأخرى,متوسطة (فئة ب),بلاتيني,4
,,,,,,مهندس أجهزة طبية تقني,67,,,,,,,,مكة المكرمة,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ب),بلاتيني,12
,,,,,,مهندس إدارة مشاريع,5772,,,,,,,,مكة المكرمة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,38
,,,,,,مهندس اذاعة وتلفزة,2,,,,,,,,مكة المكرمة,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس استخراج معادن,9,,,,,,,,مكة المكرمة,الأنشطة العقارية,متوسطة (فئة ب),بلاتيني,2
,,,,,,مهندس الآت زراعية,58,,,,,,,,مكة المكرمة,التشييد,متوسطة (فئة ب),بلاتيني,24
,,,,,,مهندس الصحة والسلامة والبيئة,496,,,,,,,,مكة المكرمة,التعدين واستغلال المحاجر,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس الكتروني اجهزة,507,,,,,,,,مكة المكرمة,التعليم,متوسطة (فئة ب),بلاتيني,4
,,,,,,مهندس الكتروني اجهزة طبية,433,,,,,,,,مكة المكرمة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,27
,,,,,,مهندس الكتروني صيانة,85,,,,,,,,مكة المكرمة,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ب),بلاتيني,4
,,,,,,مهندس الكتروني عام,3647,,,,,,,,مكة المكرمة,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,14
,,,,,,مهندس إلكترونيات,3871,,,,,,,,مكة المكرمة,الفنون والترفيه والتسلية,متوسطة (فئة ب),بلاتيني,5
,,,,,,مهندس إلكترونيات تقني,370,,,,,,,,مكة المكرمة,المعلومات والاتصالات,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس أمن سيبراني أنظمة تحكم صناعي وتقنيات تشغيلية,144,,,,,,,,مكة المكرمة,النقل والتخزين,متوسطة (فئة ب),بلاتيني,19
,,,,,,مهندس إنتاج,1052,,,,,,,,مكة المكرمة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,121
,,,,,,مهندس إنتاج تقني,82,,,,,,,,مكة المكرمة,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ب),بلاتيني,21
,,,,,,مهندس إنشائي,844,,,,,,,,نجران,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ب),بلاتيني,3
,,,,,,مهندس أول برامج خرائط,0,,,,,,,,نجران,التشييد,متوسطة (فئة ب),بلاتيني,2
,,,,,,مهندس أول مساحة,0,,,,,,,,نجران,التعليم,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس بث,40,,,,,,,,نجران,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ب),بلاتيني,2
,,,,,,مهندس بث ارسال,0,,,,,,,,نجران,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس بحث وتطوير,158,,,,,,,,نجران,الصناعة التحويلية,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس بحري,237,,,,,,,,نجران,النقل والتخزين,متوسطة (فئة ب),بلاتيني,1
,,,,,,مهندس بحري في السفينه,82,,,,,,,,نجران,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ب),بلاتيني,6
,,,,,,مهندس برامج,1348,,,,,,,,الباحة,النقل والتخزين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس برمجيات,491,,,,,,,,الباحة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,6
,,,,,,مهندس بيئة,170,,,,,,,,الجوف,التشييد,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس بيئي,431,,,,,,,,الجوف,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تحلية مياه,31,,,,,,,,الجوف,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تخطيط مدن,298,,,,,,,,الجوف,النقل والتخزين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تخطيط مصانع,222,,,,,,,,الجوف,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,9
,,,,,,مهندس تدفئة وتهوية وتكييف,403,,,,,,,,الجوف,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تركيب معدات صناعية,44,,,,,,,,الحدود الشمالية,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تصميم داخلي,607,,,,,,,,الحدود الشمالية,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس تصميم مواقع,451,,,,,,,,الحدود الشمالية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,6
,,,,,,مهندس تصنيع,465,,,,,,,,الرياض,غير خاضعة لانشطة ISIC4,متوسطة (فئة ج),بلاتيني,23
,,,,,,مهندس تطوير ومواصفات,218,,,,,,,,الرياض,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ج),بلاتيني,4
,,,,,,مهندس تعدين,591,,,,,,,,الرياض,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,24
,,,,,,مهندس تقنية معلومات,853,,,,,,,,الرياض,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس تكاليف,218,,,,,,,,الرياض,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس تنسيق مواقع,242,,,,,,,,الرياض,الأنشطة العقارية,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس توربينات,3,,,,,,,,الرياض,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة ج),بلاتيني,7
,,,,,,مهندس توليد طاقة,752,,,,,,,,الرياض,التشييد,متوسطة (فئة ج),بلاتيني,50
,,,,,,مهندس جسور,35,,,,,,,,الرياض,التعليم,متوسطة (فئة ج),بلاتيني,9
,,,,,,مهندس جيوتقني,84,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,27
,,,,,,مهندس جيولوجي,41,,,,,,,,الرياض,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس حاسب آلي,8998,,,,,,,,الرياض,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,16
,,,,,,مهندس حاسب آلي تقني,264,,,,,,,,الرياض,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس حفر ابار,146,,,,,,,,الرياض,المعلومات والاتصالات,متوسطة (فئة ج),بلاتيني,24
,,,,,,مهندس حماية كاثودية,0,,,,,,,,الرياض,النقل والتخزين,متوسطة (فئة ج),بلاتيني,15
,,,,,,مهندس دراسة الوقت والحركة,2,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,90
,,,,,,مهندس ديكور,748,,,,,,,,الرياض,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,41
,,,,,,مهندس رادار,30,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,متوسطة (فئة ج),بلاتيني,6
,,,,,,مهندس راديو,16,,,,,,,,الشرقية,أنشطة الخدمات الأخرى,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس راديو ورادار طائرات,3,,,,,,,,الشرقية,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,10
,,,,,,مهندس زراعي,1892,,,,,,,,الشرقية,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس سلامة وصحة مهنية,3249,,,,,,,,الشرقية,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس شبكات,1456,,,,,,,,الشرقية,الأنشطة العقارية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس شبكات الأقمار الصناعية,5,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة ج),بلاتيني,4
,,,,,,مهندس شبكات الضبط المساحي,0,,,,,,,,الشرقية,التشييد,متوسطة (فئة ج),بلاتيني,22
,,,,,,مهندس صحي,45,,,,,,,,الشرقية,التعدين واستغلال المحاجر,متوسطة (فئة ج),بلاتيني,8
,,,,,,مهندس صحي مياه ومجاري,17,,,,,,,,الشرقية,التعليم,متوسطة (فئة ج),بلاتيني,7
,,,,,,مهندس صناعي,5699,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,21
,,,,,,مهندس صناعي عام,1055,,,,,,,,الشرقية,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,45
,,,,,,مهندس ضبط وتحكم في الجودة,1032,,,,,,,,الشرقية,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس طاقة نووية,36,,,,,,,,الشرقية,المعلومات والاتصالات,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس طب حيوي,117,,,,,,,,الشرقية,النقل والتخزين,متوسطة (فئة ج),بلاتيني,11
,,,,,,مهندس طرق,166,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,74
,,,,,,مهندس طيران,426,,,,,,,,الشرقية,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,21
,,,,,,مهندس فاحص جودة البناء,59,,,,,,,,القصيم,غير خاضعة لانشطة ISIC4,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس كفاءة في تحليل المياه,14,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس كهربائي,35358,,,,,,,,القصيم,التشييد,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كهربائي اجهزة دقيقة,304,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,5
,,,,,,مهندس كهربائي تقني,505,,,,,,,,القصيم,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس كهربائي تمديدات,316,,,,,,,,القصيم,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كهربائي توزيع,207,,,,,,,,القصيم,المعلومات والاتصالات,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كهربائي توليد الطاقة الكهربائية,227,,,,,,,,القصيم,النقل والتخزين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كهربائي صيانة,1071,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,24
,,,,,,مهندس كهربائي عام,3406,,,,,,,,القصيم,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس كهربائي مراقبة وتحكم,82,,,,,,,,المدينة,غير خاضعة لانشطة ISIC4,متوسطة (فئة ج),بلاتيني,4
,,,,,,مهندس كهربائي نقل,8,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ج),بلاتيني,15
,,,,,,مهندس كهربائي نقل وتوزيع,56,,,,,,,,المدينة,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس كهربائي وقاية,8,,,,,,,,المدينة,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كهروميكانيكي,127,,,,,,,,المدينة,التشييد,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس كيميائي,3347,,,,,,,,المدينة,التعدين واستغلال المحاجر,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كيميائي بحث وتطوير,34,,,,,,,,المدينة,التعليم,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس كيميائي تقني,145,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,6
,,,,,,مهندس كيميائي صناعات اسمدة,3,,,,,,,,المدينة,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,9
,,,,,,مهندس كيميائي صناعات غذائية,4,,,,,,,,المدينة,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس كيميائي صناعات نفطية,37,,,,,,,,المدينة,النقل والتخزين,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس كيميائي عام,2121,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,68
,,,,,,مهندس متفجرات,6,,,,,,,,المدينة,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,5
,,,,,,مهندس محاجر,2,,,,,,,,تبوك,أنشطة خدمات الاقامة والطعام,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني,54524,,,,,,,,تبوك,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس مدني ( انشاءات معدنية ),231,,,,,,,,تبوك,الأنشطة المهنية والعلمية والتقنية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني ( جسورات ),21,,,,,,,,تبوك,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس مدني ( ري ),152,,,,,,,,تبوك,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني ( سدود ),4,,,,,,,,تبوك,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس مدني ( سكة حديد ),68,,,,,,,,تبوك,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني ( طرق ),634,,,,,,,,تبوك,المعلومات والاتصالات,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني ( مرور ),19,,,,,,,,تبوك,النقل والتخزين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني ( مطارات ),24,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,16
,,,,,,مهندس مدني ( موانيء ),12,,,,,,,,جازان,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مدني تقني,410,,,,,,,,جازان,التشييد,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مراقبة جودة,474,,,,,,,,جازان,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس مركبات,163,,,,,,,,جازان,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مساحة بحرية,21,,,,,,,,جازان,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مساحة جوية,9,,,,,,,,جازان,النقل والتخزين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مساحة عام,503,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,18
,,,,,,مهندس مستدام معتمد,97,,,,,,,,جازان,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس مشروع,9053,,,,,,,,حائل,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,3
,,,,,,مهندس معادن,153,,,,,,,,حائل,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس معالجة مياه,49,,,,,,,,حائل,الزراعة والحراجة وصيد الأسماك,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس معماري,16326,,,,,,,,حائل,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس معماري داخلي,1009,,,,,,,,حائل,المعلومات والاتصالات,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مقيم معتمد,10,,,,,,,,حائل,النقل والتخزين,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس مناجم,1,,,,,,,,حائل,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,متوسطة (فئة ج),بلاتيني,13
,,,,,,مهندس مناولة مواد,5,,,,,,,,حائل,لأنشطة المالية وأنشطة التأمين,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس مهني تمريض,8,,,,,,,,عسير,أنشطة صحة الانسان والعمل الاجتماعي,متوسطة (فئة ج),بلاتيني,9
,,,,,,مهندس مواد,607,,,,,,,,عسير,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس ميكاترونكس,340,,,,,,,,عسير,التشييد,متوسطة (فئة ج),بلاتيني,1
,,,,,,مهندس ميكانيكا التربة,7,,,,,,,,عسير,الخدمات الإدارية وخدمات الدعم,متوسطة (فئة ج),بلاتيني,8
,,,,,,مهندس ميكانيكي,31881,,,,,,,,عسير,الصناعة التحويلية,متوسطة (فئة ج),بلاتيني,2
,,,,,,مهندس ميكانيكي الآت ومكينات صناعية,36,,,,,,,,عسير,الفنون والترفيه والتسلية,متوسطة (فئة ج),بلاتيني,3
