العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,اختصاصي مختبر انسجة حيه,673,,,,,,,,الشرقية,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,"1,061"
,,,,,,اختصاصي مركز بيانات,242,,,,,,,,الشرقية,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,31
,,,,,,اختصاصي مصائد,2,,,,,,,,الشرقية,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,5
,,,,,,اختصاصي مطافي طائرات,8,,,,,,,,الشرقية,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,6
,,,,,,اختصاصي معالجة الاشعة,486,,,,,,,,الشرقية,الأنشطة العقارية,صغيرة (فئة ب),احمر,69
,,,,,,اختصاصي معالجة طبيعية,505,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,46
,,,,,,اختصاصي مكياج,102,,,,,,,,الشرقية,التشييد,صغيرة (فئة ب),احمر,"1,328"
,,,,,,اختصاصي نحت,0,,,,,,,,الشرقية,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,17
,,,,,,اختصاصي وسائل تعليمية,172,,,,,,,,الشرقية,التعليم,صغيرة (فئة ب),احمر,16
,,,,,,اخصائي,1057,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,247
,,,,,,أخصائي أبحاث أسواق,335,,,,,,,,الشرقية,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,72
,,,,,,اخصائي ابر صينية,0,,,,,,,,الشرقية,الصناعة التحويلية,صغيرة (فئة ب),احمر,511
,,,,,,أخصائي آثار,40,,,,,,,,الشرقية,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,13
,,,,,,أخصائي أجهزة طبية,13,,,,,,,,الشرقية,المعلومات والاتصالات,صغيرة (فئة ب),احمر,29
,,,,,,أخصائي أحوال مدنية,6,,,,,,,,الشرقية,النقل والتخزين,صغيرة (فئة ب),احمر,186
,,,,,,أخصائي اختبار اختراقات,31,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"3,003"
,,,,,,أخصائي أداء مؤسسي,207,,,,,,,,الشرقية,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,5
,,,,,,أخصائي إدارة اداء,729,,,,,,,,القصيم,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,125
,,,,,,أخصائي إدارة أزمات,35,,,,,,,,القصيم,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,245
,,,,,,أخصائي إدارة التغيير,110,,,,,,,,القصيم,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,359
,,,,,,أخصائي إدارة الجودة,1206,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,18
,,,,,,أخصائي إدارة الطوارئ,112,,,,,,,,القصيم,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي إدارة المعلومات والمعرفة,75,,,,,,,,القصيم,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),احمر,3
,,,,,,أخصائي إدارة تمريض,69,,,,,,,,القصيم,الأنشطة العقارية,صغيرة (فئة ب),احمر,18
,,,,,,أخصائي إدارة خدمات,5794,,,,,,,,القصيم,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),احمر,24
,,,,,,أخصائي إدارة شبكات,697,,,,,,,,القصيم,التشييد,صغيرة (فئة ب),احمر,842
,,,,,,أخصائي إدارة صيدلانية,35,,,,,,,,القصيم,التعدين واستغلال المحاجر,صغيرة (فئة ب),احمر,5
,,,,,,أخصائي إدارة عقود التقنية,92,,,,,,,,القصيم,التعليم,صغيرة (فئة ب),احمر,11
,,,,,,أخصائي إدارة عقود تقنية,199,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),احمر,224
,,,,,,أخصائي إدارة قواعد بيانات,673,,,,,,,,القصيم,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),احمر,66
,,,,,,أخصائي إدارة مخاطر,722,,,,,,,,القصيم,الصناعة التحويلية,صغيرة (فئة ب),احمر,330
,,,,,,أخصائي إدارة مشاريع,8593,,,,,,,,القصيم,الفنون والترفيه والتسلية,صغيرة (فئة ب),احمر,11
,,,,,,أخصائي إدارة هوية وصلاحيات,27,,,,,,,,القصيم,المعلومات والاتصالات,صغيرة (فئة ب),احمر,8
,,,,,,أخصائي إداري,20412,,,,,,,,القصيم,النقل والتخزين,صغيرة (فئة ب),احمر,86
,,,,,,أخصائي أدوية طبيعية,2,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),احمر,"1,176"
,,,,,,أخصائي ارتباط وظيفي,18,,,,,,,,القصيم,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),احمر,1
,,,,,,أخصائي إرشاد آثار,1,,,,,,,,المدينة,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),احمر,104
,,,,,,أخصائي إرشاد زراعي,1024,,,,,,,,المدينة,أنشطة الخدمات الأخرى,صغيرة (فئة ب),احمر,82
,,,,,,أخصائي إرشاد سياحي,243,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),احمر,531
,,,,,,أخصائي إرشاد نفسي,48,,,,,,,,المدينة,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),احمر,15
