السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,عالمي وأجنبي,مكتب التعليم بسكاكا,بنات,23,32,55
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الثانوية,عالمي وأجنبي,مكتب التعليم بسكاكا,بنين,18,33,51
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بدومة الجندل,بنات,50,2,52
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بدومة الجندل,بنين,124,12,136
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بسكاكا,بنات,475,25,500
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بسكاكا,بنين,940,51,991
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بطبرجل,بنات,31,21,52
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,أهلي,مكتب التعليم بطبرجل,بنين,344,51,395
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بدومة الجندل,بنات,1994,76,2070
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بدومة الجندل,بنين,1922,101,2023
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بسكاكا,بنات,5643,486,6129
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بسكاكا,بنين,5545,479,6024
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بطبرجل,بنات,3768,141,3909
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,حكومي,مكتب التعليم بطبرجل,بنين,3537,116,3653
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,عالمي وأجنبي,مكتب التعليم بسكاكا,بنات,37,84,121
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة المتوسطة,عالمي وأجنبي,مكتب التعليم بسكاكا,بنين,43,67,110
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,أهلي,مكتب التعليم بدومة الجندل,بنات,63,22,85
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,أهلي,مكتب التعليم بسكاكا,بنات,529,27,556
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,أهلي,مكتب التعليم بطبرجل,بنات,65,14,79
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,حكومي,مكتب التعليم بدومة الجندل,بنات,1020,1,1021
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,حكومي,مكتب التعليم بسكاكا,بنات,3255,10,3265
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,حكومي,مكتب التعليم بطبرجل,بنات,1778,2,1780
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,رياض الأطفال,عالمي وأجنبي,مكتب التعليم بسكاكا,بنات,68,46,114
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,إدارة الإشراف التربوي,بنات,688,31,719
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,إدارة الإشراف التربوي,بنين,929,65,994
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم برفحاء,بنات,395,36,431
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم برفحاء,بنين,767,67,834
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم بطريف,بنات,123,37,160
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم بطريف,بنين,287,47,334
1446,2025,الحدود الشمالية,الحدود الشمالية,الإدارة العامة للتعليم بمنطقة الحدود الشمالية,المرحلة الإبتدائية,أهلي,مكتب التعليم بمحافظة العويقيلة,بنات,16,0,16
