السنة ميلادي,السنة هجري,الإدارة العامة,اسم المدرسة,السلطة,المرحلة ,جنس المدرسة
2025,1446,الرياض,ابتدائية المتقدمة العالمية - النرجس,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المتقدمة العالمية - النزهة,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المتقدمة العالمية - النهضة,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المتقدمة العالمية - عليشة,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة العالمية  - النزهة,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة العالمية الملقا,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة العالمية فرع النهضة,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة الملقا دبلوما امريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة النرجس العالميه,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المتقدمة دبلوم أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المجد الاهلية- برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المجد نمار برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المدرسة الهندية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المدرسة الهندية العالمية للبنين,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المدينة الأكاديمية برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المدينة الأكاديمية برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المدينة الأكاديمية برنامج فرنسي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المدينة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية المسار العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية المسار العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
